1,이걸문기가,ㅋㅋㅋ광고를들으려고클릭해서들어온적은첨이네
2,곽철용,이렇게내가광고까지했는데도사먹지않으면변사체가된다
3,정성훈,아놔내가살면서광고를클릭해서볼줄이야아이언드래곤성님화이팅하십쇼
4,송현우,내가유튜브에서광고를찾아들어간건처음이네ㅋㅋㅋ광고더블로가!
5,킴데이브,장난삼아얘기했던게실제로이어지네ㅋㅋ
6,메유,고니야감자튀김하나찔러봐라
7,Realestate,광고를클릭해서본건처음이다...이게내결론이다
8,최호영,뒤에노란정장김영철사딸라와드박습니다.
9,여러분하고싶은거다fuxkin해요,곽철용이분은발성이랑목소리가개씹사기라평범한대사해도명대사가됨앞으로도건승하시길
10,남성인권부,"곽철용이대로야쿠르트광고까지가즈아ㅏ!!""고니야~빨대한번찔러봐라."""
11,jeongmin9,진짜트렌디한브랜드네ㅋㅋ
12,미스터굿굿Mr.GoodGood,밈떴을때바로광고제작해줬으면더좋았을텐데..그래도지금이라도볼수있어서흐뭇함굿굿
13,sunyukim,드디어버거킹이이루었도다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ앜ㅋㅋㅋㅋ역시버거패티는묻고더블로가야제맛!🍔
14,혜니,전설의곽철용ㅋㅋㅋ드디어광고도찍으신건가요ㅋㅋㅋㅋㅋ
15,정은정,"양준일님이팬미팅했다는버거킹구경하러홈피,여기까지와보네요다음광고는양준일님으로~~지금광고도멋져요~~"
16,ammss11,알바여자분사딸라때랑같은사람인듯ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
17,운지민,나올줄알았다ㅋㅋㅋㅋㅋㅋㅋ
18,너그토록아름다운,"양준일님이어렸을때부터버거킹마니아였다는데...어제팬미팅에서""예전에는팬미팅을버거킹에서했어요~""마지막멘트""2차로버거킹?""..양준일을모델로..."
19,StationStop,0:160:19김영철이스터에그...?
20,Bonggeun,광고보다일부러들어옴내일점심은햄버거가ㅋㅋ
21,갸오니,"옛날옛적에준일님이드셨던버거가궁금합니다~탑골버거~버거킹이버거""킹""이었던그때그시절~~"
22,코코리코,1991시간여행버거하나만들고양준일님버거킹광고갑시다~♡준일님90년대버거킹단골♡팬과의소통장소도버거킹♡광고주님들밀어주세요~♡
23,통화거래내역,00:1700:19사딸라김영철씨깜짝출현
24,이자영,참~~나😉❤양준일때문에버거킹엘다들어왔네😅다음편광고는양준일씨강력추천~~~~합니다👍👍👍👍👍양준일씨가팬미팅에서버거킹얘길계속하시더라구요ㅋ그영상보고햄버거좋아하지도않는데대체뭐가그리좋아서버거킹버거킹하나들어와봤어요😆담CF는양준일씨로~~~예~~~❤❤❤그럼아들데리고롯데리아안가고버거킹만가겠음😉😉👍👍🍔🍔🍟🍟❤❤
25,박유튜브,동네분들을위해워터파크작은거지만무료개방하실때부터인성굿
26,TonyShin,묻고더블로가!!나믿고더블로가!!AskandGotoTheBlue!!
27,이준희,ㅋㅋㅋ아놔버거킹진짜ㅋㅋㅋ햄버거도좋아하지만광고로항상웃겨주네ㅋㅋㅋㅋ
28,SunnSunny,진짜유튜브광고자발적클릭은처음이네요ㅋㅋㅋ
29,Skywalker,내가유튜브생활3년만에광고썸네일보고들어오긴처음이다ㅋㅋㅋㅋㅋ
30,도개걸윷모모모,버거하나에패티두개를태워?너나중에다시봐~
31,카이저소제,"맥도날드도안되,롯데리아도안되,이안에버거킹상대가없다.이게내결론이야."
32,AaronRyeoYoon,곽철용뒤에노란옷ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ세계관이합쳐지는것인가?
33,Univ찌룩,0:04웃음참으시는거같으신데ㅋㅋㅋㅋㅋㅋㅋ
34,2차는버거킹,준일오빠가팬미팅했던지점을찾아주세요~~성지순례갈거야아~~
35,-쌍쌍바100원,와내가스스로광고를클릭하다니...ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
36,블쿠BC,누가이거광고나오면좋겠다했는데진짜나왔네ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
37,꾼희,"""Askandgototheblue"""
38,방구석게임,와조회수ㅋㅋㅋㅋㅋㅋ뭐얔ㅋㅋㅋㅋㅋㅋㅋ버거킹이이렇게떡상하네볼때마다몇만씩올라
39,doledoDole,0:08반복재생중..넘귀엽자나
40,sinkyulee,이제야나왔네ㅋㅋㅋㅋㅋ기다리고있었다맛깔난다역시본좌야ㅠㅠ
41,양훈김,0:160:19그분의옷이보인다
42,hopjay,광고볼려고클릭한건처음인뎈ㅋㅋㅋ배댓도쭈욱그래서너무신기ㅋㅋ대박
43,UI유아이,아진짜진심방터졋다아침부터ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
44,곽재영,ㅋㅋㅋㅋ와댓글처음적는데진짜찍었네이거ㅋㅋㅋㅋ대박
45,유멜리,진짜미쳤나봨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ너무좋아ㅠㅠㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
46,OhHailena[Show]그라시아스,광고가오진다ㅋㅋ
47,갓시탈,0:08철용형님죄송합니다.이누나가더눈에들어왔습니다..
48,후라이팬,0:03
49,국민이개돼지냐,햄버거안먹는데먹어야겠누많이사먹으면철용이형또광고찍음ㅋㅋ
50,짜파게티중독자,이이저씨너무좋아ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
51,escorter*,나왔네ㅋㅋㅋㅋ쫌만더빨리나왔으면좋았을듯
